Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
9740746T;Ecole maternelle publique Vauban 1;Ecole;Public;1 boulevard Vauban;;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;1;0;;;;0262211773;;;ce.9740746T@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974011501013;;;-20.886117154202786, 55.46452097699661;SANS OBJET;La Réunion;La Réunion;La Réunion;340284.4;7689692.9;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 3;-20.886117154202786;55.46452097699661;Numéro de rue;1977-05-06;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740081V;;;9740086A;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740760H;Ecole maternelle publique Flora Tristan;Ecole;Public;46 chemin Calogine;BOIS D'OLIVES;97432 ST PIERRE;97432;97416;Saint-Pierre;974;28;04;1;0;;;;0262494247;;;ce.9740760H@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974016400252;;;-21.295407625607684, 55.45329643027907;SANS OBJET;La Réunion;La Réunion;La Réunion;339556.9;7644371.6;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 1;-21.295407625607684;55.45329643027907;Numéro de rue;1977-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740027L;;;9740056T;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740804F;Ecole maternelle publique Laurent Vergès;Ecole;Public;9 rue Rosa Luxemburg;RIVIERE DES GALETS;97420 LE PORT;97420;97407;Le Port;974;28;04;1;0;;;;0262420788;;;ce.9740804F@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974007300081;;;-20.95847561001435, 55.31512461025857;SANS OBJET;La Réunion;La Réunion;La Réunion;324825.6;7681526.5;EPSG:2975;Circonscription d'inspection du 1er degré du Port;-20.95847561001435;55.31512461025857;Numéro de rue;1979-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740812P;;;9740815T;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740821Z;Ecole maternelle publique  Saint-Clair Agenor;Ecole;Public;114 chemin de l'Ecole;;97440 ST ANDRE;97440;97409;Saint-André;974;28;04;1;0;;;;0262462647;;;ce.9740821Z@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974009900060;;;-20.940435181027016, 55.676004333742874;SANS OBJET;La Réunion;La Réunion;La Réunion;362335.0;7683876.0;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Suzanne;-20.940435181027016;55.676004333742874;Numéro de rue;1980-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740703W;;;9741539E;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740825D;Ecole maternelle publique Jacques Duclos;Ecole;Public;3 rue des Ecoles;SAINTE-THERESE;97419 LA POSSESSION;97419;97408;La Possession;974;28;04;1;0;;;;0262448162;;;ce.9740825D@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974008100167;;;-20.95192057715434, 55.34343298101006;SANS OBJET;La Réunion;La Réunion;La Réunion;327761.9;7682282.9;EPSG:2975;Circonscription d'inspection du 1er degré de La Possession;-20.95192057715434;55.34343298101006;Numéro de rue;1980-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740084Y;;;9741083J;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740844Z;Ecole maternelle publique Heva;Ecole;Public;14 rue Antoine Abeilard;LES FLAMBOYANTS;97441 STE SUZANNE;97441;97420;Sainte-Suzanne;974;28;04;1;0;;;;0262980699;;;ce.9740844Z@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974020600103;;;-20.905942790689387, 55.60427784208565;SANS OBJET;La Réunion;La Réunion;La Réunion;354842.8;7687630.9;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Suzanne;-20.905942790689387;55.60427784208565;Numéro de rue;1981-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9741270M;;;9741539E;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740863V;Ecole maternelle publique René Michel;Ecole;Public;23 rue René Michel;;97420 LE PORT;97420;97407;Le Port;974;28;04;1;0;;;;0262420434;;;ce.9740863V@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974007300198;;;-20.93690708936214, 55.29348762268359;SANS OBJET;La Réunion;La Réunion;La Réunion;322550.1;7683890.5;EPSG:2975;Circonscription d'inspection du 1er degré du Port;-20.93690708936214;55.29348762268359;Numéro de rue;1982-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740812P;;;9740815T;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740898H;Ecole maternelle publique Ariste Bolon;Ecole;Public;12 rue René Dufestin;;97420 LE PORT;97420;97407;Le Port;974;28;04;1;0;;;;0262434236;;;ce.9740898H@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974007300057;;;-20.94971069982896, 55.29961182316883;SANS OBJET;La Réunion;La Réunion;La Réunion;323202.1;7682479.8;EPSG:2975;Circonscription d'inspection du 1er degré du Port;-20.94971069982896;55.29961182316883;Rue;1983-02-24;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740812P;;;9740815T;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740899J;Ecole maternelle publique George Sand;Ecole;Public;77 route Ligne Paradis;;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;1;0;;;;0262250451;;;ce.9740899J@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974016400260;;;-21.313126174796245, 55.475018980150665;SANS OBJET;La Réunion;La Réunion;La Réunion;341829.6;7642432.0;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 1;-21.313126174796245;55.475018980150665;Numéro de rue;1983-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740027L;;;9740056T;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740901L;Ecole maternelle publique les Tulipiers;Ecole;Public;89 allée des Tulipes;MOUFIA;97490 ST DENIS;97490;97411;Saint-Denis;974;28;04;1;0;;;;0262286816;;;ce.9740901L@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974011500320;;;-20.915703963657513, 55.485356286346224;SANS OBJET;La Réunion;La Réunion;La Réunion;342482.9;7686438.2;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 2;-20.915703963657513;55.485356286346224;Numéro de rue;1983-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9741188Y;;;9740062Z;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740915B;Ecole maternelle publique du centre la Marine;Ecole;Public;2 rue Joseph Hubert;;97442 ST PHILIPPE;97442;97417;Saint-Philippe;974;28;04;1;0;;;;0262370141;;;ce.9740915B@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974017200065;;;-21.362334722536012, 55.768092792750316;SANS OBJET;La Réunion;La Réunion;La Réunion;372273.6;7637250.7;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Joseph;-21.362334722536012;55.768092792750316;Numéro de rue;1984-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740468R;;;9740452Y;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740923K;Ecole maternelle publique Plateau Goyaves;Ecole;Public;Rue Auguste Larrée;;97450 ST LOUIS;97450;97414;Saint-Louis;974;28;04;1;0;;;;0262260551;;;ce.9740923K@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974014900295;;;-21.276869616654146, 55.42052144373737;SANS OBJET;La Réunion;La Réunion;La Réunion;336135.9;7646390.2;EPSG:2975;Circonscription d'inspection du 1er degré Saint-Louis/Cilaos;-21.276869616654146;55.42052144373737;Rue;1985-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9741189Z;;;9740058V;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740927P;Ecole primaire publique Jasmin Robert;Ecole;Public;163 route de Sans Souci;BOIS DE NEFLES ST PAUL;97411 ST PAUL;97411;97415;Saint-Paul;974;28;04;1;1;;;;0262441610;;;ce.9740927P@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974015600738;;;-20.98048542052696, 55.33983956809691;SANS OBJET;La Réunion;La Réunion;La Réunion;327421.0;7679116.7;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 3;-20.98048542052696;55.33983956809691;Numéro de rue;1985-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740093H;;;9741548P;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740929S;Ecole maternelle publique Raoul Fruteau;Ecole;Public;Rue Alice Peverelly;;97420 LE PORT;97420;97407;Le Port;974;28;04;1;0;;;;0262435348;;;ce.9740929S@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974007300297;;;-20.936300721918556, 55.302606359615375;SANS OBJET;La Réunion;La Réunion;La Réunion;323497.8;7683967.7;EPSG:2975;Circonscription d'inspection du 1er degré du Port;-20.936300721918556;55.302606359615375;Rue;1985-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740812P;;;9740815T;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740936Z;Ecole maternelle publique Grande Fontaine;Ecole;Public;20 impasse des Roseaux;GRANDE FONTAINE;97460 ST PAUL;97460;97415;Saint-Paul;974;28;04;1;0;;;;0262225361;;;ce.9740936Z@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974015600753;;;-21.011966464937203, 55.281429361625435;SANS OBJET;La Réunion;La Réunion;La Réunion;321385.2;7675567.3;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 1;-21.011966464937203;55.281429361625435;Numéro de rue;1985-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740093H;;;9740059W;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740938B;Ecole maternelle publique Indira Gandhi;Ecole;Public;177 avenue Général de Gaulle;;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;1;0;;;;0262310052;;;ce.9740938B@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974016400427;;;-21.35788845962247, 55.521435090185626;SANS OBJET;La Réunion;La Réunion;La Réunion;346691.2;7637522.5;EPSG:2975;Circonscription d'inspection du 1er degré de Petite Ile;-21.35788845962247;55.521435090185626;Numéro de rue;1985-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740811N;;;9741508W;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740992K;Ecole maternelle publique Ravine Piments;Ecole;Public;1 avenue Pasteur;LE GOL;97450 ST LOUIS;97450;97414;Saint-Louis;974;28;04;1;0;;;;0262262645;;;ce.9740992K@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974014900311;;;-21.273455387864587, 55.403199920605196;SANS OBJET;La Réunion;La Réunion;La Réunion;334334.7;7646750.1;EPSG:2975;Circonscription d'inspection du 1er degré Avirons-l'étang-salé-Le Gol;-21.273455387864587;55.403199920605196;Numéro de rue;1987-09-15;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9741189Z;;;9741362M;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740995N;Ecole primaire publique les Eglantines;Ecole;Public;1 rue des Eglantines;;97490 ST DENIS;97490;97411;Saint-Denis;974;28;04;1;1;;;;0262296107;;;ce.9740995N@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974011500973;;;-20.918196791941927, 55.48694354583216;SANS OBJET;La Réunion;La Réunion;La Réunion;342650.6;7686163.8;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 2;-20.918196791941927;55.48694354583216;Numéro de rue;1988-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741188Y;;;9740062Z;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9741065P;Ecole maternelle publique Laperriere;Ecole;Public;34 chemin Cresson;TOUR DES ROCHES;97460 ST PAUL;97460;97415;Saint-Paul;974;28;04;1;0;;;;0692336146;;;ce.9741065P@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974015600829;;;-20.999364649826923, 55.30534928460757;SANS OBJET;La Réunion;La Réunion;La Réunion;323857.0;7676989.0;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 1;-20.999364649826923;55.30534928460757;Numéro de rue;1991-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740093H;;;9740059W;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9741073Y;Ecole élémentaire publique Centrale;Ecole;Public;121 bis rue Jules Auber;;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;0;1;;;;0262211676;;;ce.9741073Y@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974011501070;;;-20.8805922582168, 55.453482325287105;SANS OBJET;La Réunion;La Réunion;La Réunion;339130.1;7690293.5;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 5;-20.8805922582168;55.453482325287105;Numéro de rue;1991-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740081V;;;9741067S;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9741080F;Ecole maternelle publique Emile Thomas;Ecole;Public;220 rue Emile Thomas;;97440 ST ANDRE;97440;97409;Saint-André;974;28;04;1;0;;;;0262580856;;;ce.9741080F@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974009900326;;;-20.93505334880145, 55.648761860828564;SANS OBJET;La Réunion;La Réunion;La Réunion;359497.0;7684448.1;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Suzanne;-20.93505334880145;55.648761860828564;Numéro de rue;1992-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740703W;;;9741539E;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9741092U;Ecole maternelle publique le Village;Ecole;Public;Rue Gay Lussac;;97438 STE MARIE;97438;97418;Sainte-Marie;974;28;04;1;0;;;;0262539432;;;ce.9741092U@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974018000225;;;-20.92777604736432, 55.52715112217497;SANS OBJET;La Réunion;La Réunion;La Réunion;346842.4;7685142.3;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Marie;-20.92777604736432;55.52715112217497;Rue;1993-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740921H;;;9740088C;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9741179N;Ecole maternelle publique 17ème km;Ecole;Public;128 chemin Barbot;;97430 LE TAMPON;97430;97422;Le Tampon;974;28;04;1;0;;;;0262270383;;;ce.9741179N@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974022200530;;;-21.240199952418088, 55.52526843493211;SANS OBJET;La Réunion;La Réunion;La Réunion;346966.9;7650554.8;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 1;-21.240199952418088;55.52526843493211;Numéro de rue;1994-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740620F;;;9740057U;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9741196G;Ecole primaire publique de l'Europe Jean Monnet;Ecole;Public;1 bis rue des Saphirs;PLATEAU CAILLOUX;97460 ST PAUL;97460;97415;Saint-Paul;974;28;04;1;1;;;;0262557265;;;ce.9741196G@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974015600852;;;-21.023485727260976, 55.26461974362287;SANS OBJET;La Réunion;La Réunion;La Réunion;319651.6;7674273.1;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 2;-21.023485727260976;55.26461974362287;Numéro de rue;1995-09-05;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740932V;;;9740087B;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9741197H;Ecole primaire publique Palmiste Rouge;Ecole;Public;11 chemin de l'Ecole;PALMISTE ROUGE;97413 CILAOS;97413;97424;Cilaos;974;28;04;1;1;;;;0262319010;;;ce.9741197H@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974024800063;;;-21.16938621234667, 55.47558698497881;SANS OBJET;La Réunion;La Réunion;La Réunion;341735.1;7658345.3;EPSG:2975;Circonscription d'inspection du 1er degré Saint-Louis/Cilaos;-21.16938621234667;55.47558698497881;Numéro de rue;1995-09-05;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741189Z;;;9740058V;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9741239D;Ecole élémentaire publique Alfred Isautier;Ecole;Public;Chemin Paulo Tilmar;BASSE TERRE JOLI FOND;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;0;1;;;;0262354273;;;ce.9741239D@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974016400518;;;-21.3277684391467, 55.47689803774222;SANS OBJET;La Réunion;La Réunion;La Réunion;342040.2;7640812.9;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 2;-21.3277684391467;55.47689803774222;Rue;1997-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740576H;;;9740857N;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9741240E;Ecole élémentaire  publique Adrienne Lenormand;Ecole;Public;5 chemin Fleury;;97421 ST LOUIS;97421;97414;Saint-Louis;974;28;04;0;1;;;;0262393632;;;ce.9741240E@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974014900352;;;-21.256416634231364, 55.44128810017524;SANS OBJET;La Réunion;La Réunion;La Réunion;338268.4;7648675.9;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 2;-21.256416634231364;55.44128810017524;Numéro de rue;1997-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740011U;;;9740857N;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9741304Z;Ecole maternelle publique Célimène;Ecole;Public;10 impasse Célimène;;97419 LA POSSESSION;97419;97408;La Possession;974;28;04;1;0;;;;0262321411;;;ce.9741304Z@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974008100316;;;-20.945478657201345, 55.33400670497316;SANS OBJET;La Réunion;La Réunion;La Réunion;326774.2;7682985.9;EPSG:2975;Circonscription d'inspection du 1er degré de La Possession;-20.945478657201345;55.33400670497316;Numéro de rue;2000-08-29;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740084Y;;;9741083J;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9741326Y;Ecole maternelle publique les Gaspards;Ecole;Public;30 rue du Frère Scubilion;;97438 STE MARIE;97438;97418;Sainte-Marie;974;28;04;1;0;;;;0262531277;;;ce.9741326Y@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974018000274;;;-20.898766153412843, 55.5548002470486;SANS OBJET;La Réunion;La Réunion;La Réunion;349689.1;7688379.8;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Marie;-20.898766153412843;55.5548002470486;Numéro de rue;2003-03-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740921H;;;9740088C;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9741327Z;Ecole primaire publique Maximilienne Lambert;Ecole;Public;22 chemin Jean Albany;;97433 SALAZIE;97433;97421;Salazie;974;28;04;1;1;;;;0692464589;;;ce.9741327Z@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974021400206;;;-21.01767974579073, 55.54744621226681;SANS OBJET;La Réunion;La Réunion;La Réunion;349043.5;7675209.3;EPSG:2975;Circonscription d'inspection du 1er degré de Bras-Panon;-21.01767974579073;55.54744621226681;Numéro de rue;2002-08-20;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740046G;;;9741305A;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9741350Z;Ecole primaire publique Pointe des Châteaux;Ecole;Public;46 rue Georges Pompidou;ROUTE DES COLIMACONS;97436 ST LEU;97436;97413;Saint-Leu;974;28;04;1;1;;;;0262340106;;;ce.9741350Z@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974013100327;;;-21.147591030872967, 55.278784153615305;SANS OBJET;La Réunion;La Réunion;La Réunion;321272.5;7660549.2;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Leu;-21.147591030872967;55.278784153615305;Numéro de rue;2003-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740546A;;;9740451X;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9741356F;Ecole élémentaire publique Ilet à Aurère Mafate;Ecole;Public;ILET A AURERE (MAFATE);ILET A AURERE (MAFATE);97419 LA POSSESSION;97419;97408;La Possession;974;28;04;1;1;;;;0692821451;;;ce.9741356F@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974008100340;;;-21.01978564533261, 55.42477021059692;SANS OBJET;La Réunion;La Réunion;La Réunion;336294.4;7674855.3;EPSG:2975;Circonscription d'inspection du 1er degré de La Possession;-21.01978564533261;55.42477021059692;Numéro de rue;2003-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740084Y;;;9741083J;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9741364P;Ecole primaire publique Michel Debré;Ecole;Public;1 rue Père Urbain Quatrefages;BP 101;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;1;1;;;;0262351810;;;ce.9741364p@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974016400542;;;-21.329117738518512, 55.48206601601577;SANS OBJET;La Réunion;La Réunion;La Réunion;342577.7;7640668.7;EPSG:2975;Circonscription d'inspection du 1er degré de Petite Ile;-21.329117738518512;55.48206601601577;Numéro de rue;2004-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740811N;;;9741508W;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9741369V;Ecole maternelle publique Montvert;Ecole;Public;16 chemin des Tamarins;;97426 LES TROIS BASSINS;97426;97423;Les Trois-Bassins;974;28;04;1;0;;;;0262335898;;;ce.9741369V@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974023000137;;;-21.101884381013893, 55.30355688210024;SANS OBJET;La Réunion;La Réunion;La Réunion;323791.4;7665637.1;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Leu;-21.101884381013893;55.30355688210024;Numéro de rue;2005-08-23;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740035V;;;9740451X;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
